"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-add\modifier-add.component.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-add\modifier-add.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-add\modifier-add.component.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 13, 59
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-config\modifier-config.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-config\modifier-config.component.html", "HTML", 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-config\modifier-config.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-config\modifier-config.component.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 9, 34
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-edit\modifier-edit.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-edit\modifier-edit.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-edit\modifier-edit.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\modifier-edit\modifier-edit.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonadd\seasonadd.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonadd\seasonadd.component.html", "HTML", 0, 0, 0, 28, 0, 0, 0, 3, 31
